,start,end,duration,round_epochs,loss,accuracy,f1score,val_loss,val_accuracy,val_f1score,lr,first_dropout,first_neuron,first_activation,kernel_initializer,second_neuron,second_activation,second_dropout,last_activation,optimizer,losses,batch_size,epochs
574,08/08/23-131232,08/08/23-131239,7.223457098007202,100,5.173579216003418,0.6554934978485107,0.06365913897752762,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.4,tanh,Nadam,binary_crossentropy,200,20
575,08/08/23-131239,08/08/23-131246,6.775518894195557,100,4.976836204528809,0.6275604963302612,0.22380948066711426,5.2666754722595215,0.6320346593856812,0.08602149784564972,0.5,0.2,24,relu,normal,36,elu,0.4,tanh,Nadam,binary_crossentropy,400,20
576,08/08/23-131246,08/08/23-131253,6.670903205871582,100,0.5694759488105774,0.7094972133636475,0.49044811725616455,0.5724694728851318,0.7272727489471436,0.4308571219444275,0.5,0.2,24,elu,uniform,24,relu,0.0,sigmoid,Adam,binary_crossentropy,200,20
577,08/08/23-131253,08/08/23-131300,6.355864524841309,100,0.5521603226661682,0.7318435907363892,0.5523399114608765,0.564478874206543,0.7316017150878906,0.5974025726318359,0.5,0.2,24,elu,uniform,24,relu,0.0,sigmoid,Adam,binary_crossentropy,400,20
578,08/08/23-131300,08/08/23-131307,7.102953910827637,100,0.5438888669013977,0.7188081741333008,0.5324307084083557,0.545404851436615,0.7489177584648132,0.5160713195800781,0.5,0.2,24,elu,uniform,24,relu,0.0,sigmoid,Nadam,binary_crossentropy,200,20
579,08/08/23-131307,08/08/23-131314,6.78169584274292,100,0.6170743703842163,0.6871508359909058,0.49878403544425964,0.5461732745170593,0.7359307408332825,0.5196850299835205,0.5,0.2,24,elu,uniform,24,relu,0.0,sigmoid,Nadam,binary_crossentropy,400,20
580,08/08/23-131314,08/08/23-131321,6.700526714324951,100,4.275832176208496,0.5679702162742615,0.4145622253417969,3.536836624145508,0.588744580745697,0.4690576195716858,0.5,0.2,24,elu,uniform,24,relu,0.0,tanh,Adam,binary_crossentropy,200,20
581,08/08/23-131321,08/08/23-131327,6.3146092891693115,100,2.2229933738708496,0.575419008731842,0.5145834684371948,1.457417368888855,0.6969696879386902,0.615384578704834,0.5,0.2,24,elu,uniform,24,relu,0.0,tanh,Adam,binary_crossentropy,400,20
582,08/08/23-131328,08/08/23-131335,7.102866172790527,100,5.516128063201904,0.43389198184013367,0.4142087996006012,4.7209391593933105,0.5108225345611572,0.4375690221786499,0.5,0.2,24,elu,uniform,24,relu,0.0,tanh,Nadam,binary_crossentropy,200,20
583,08/08/23-131335,08/08/23-131342,6.748477458953857,100,5.285270690917969,0.6573556661605835,0.0,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,elu,uniform,24,relu,0.0,tanh,Nadam,binary_crossentropy,400,20
